"growingDay","crop","cropCoefficient","cropGrowthStage"
1,"broccoli",0.7,"initial"
2,"broccoli",0.7,"initial"
3,"broccoli",0.7,"initial"
4,"broccoli",0.7,"initial"
5,"broccoli",0.7,"initial"
6,"broccoli",0.7,"initial"
7,"broccoli",0.7,"initial"
8,"broccoli",0.7,"initial"
9,"broccoli",0.7,"initial"
10,"broccoli",0.7,"initial"
11,"broccoli",0.7,"initial"
12,"broccoli",0.7,"initial"
13,"broccoli",0.7,"initial"
14,"broccoli",0.7,"initial"
15,"broccoli",0.7,"initial"
16,"broccoli",0.7,"initial"
17,"broccoli",0.7,"initial"
18,"broccoli",0.7,"initial"
19,"broccoli",0.7,"initial"
20,"broccoli",0.7,"initial"
21,"broccoli",0.7,"initial"
22,"broccoli",0.7,"initial"
23,"broccoli",0.7,"initial"
24,"broccoli",0.7,"initial"
25,"broccoli",0.7,"initial"
26,"broccoli",0.7,"initial"
27,"broccoli",0.7,"initial"
28,"broccoli",0.7,"initial"
29,"broccoli",0.7,"initial"
30,"broccoli",0.7,"initial"
31,"broccoli",0.7,"initial"
32,"broccoli",0.7,"initial"
33,"broccoli",0.7,"initial"
34,"broccoli",0.7,"initial"
35,"broccoli",0.7,"initial"
36,"broccoli",0.708,"crop development"
37,"broccoli",0.715,"crop development"
38,"broccoli",0.723,"crop development"
39,"broccoli",0.73,"crop development"
40,"broccoli",0.738,"crop development"
41,"broccoli",0.746,"crop development"
42,"broccoli",0.753,"crop development"
43,"broccoli",0.761,"crop development"
44,"broccoli",0.768,"crop development"
45,"broccoli",0.776,"crop development"
46,"broccoli",0.784,"crop development"
47,"broccoli",0.791,"crop development"
48,"broccoli",0.799,"crop development"
49,"broccoli",0.807,"crop development"
50,"broccoli",0.814,"crop development"
51,"broccoli",0.822,"crop development"
52,"broccoli",0.829,"crop development"
53,"broccoli",0.837,"crop development"
54,"broccoli",0.845,"crop development"
55,"broccoli",0.852,"crop development"
56,"broccoli",0.86,"crop development"
57,"broccoli",0.867,"crop development"
58,"broccoli",0.875,"crop development"
59,"broccoli",0.883,"crop development"
60,"broccoli",0.89,"crop development"
61,"broccoli",0.898,"crop development"
62,"broccoli",0.905,"crop development"
63,"broccoli",0.913,"crop development"
64,"broccoli",0.921,"crop development"
65,"broccoli",0.928,"crop development"
66,"broccoli",0.936,"crop development"
67,"broccoli",0.943,"crop development"
68,"broccoli",0.951,"crop development"
69,"broccoli",0.959,"crop development"
70,"broccoli",0.966,"crop development"
71,"broccoli",0.974,"crop development"
72,"broccoli",0.982,"crop development"
73,"broccoli",0.989,"crop development"
74,"broccoli",0.997,"crop development"
75,"broccoli",1.004,"crop development"
76,"broccoli",1.012,"crop development"
77,"broccoli",1.02,"crop development"
78,"broccoli",1.027,"crop development"
79,"broccoli",1.035,"crop development"
80,"broccoli",1.042,"crop development"
81,"broccoli",1.05,"mid-season"
82,"broccoli",1.05,"mid-season"
83,"broccoli",1.05,"mid-season"
84,"broccoli",1.05,"mid-season"
85,"broccoli",1.05,"mid-season"
